Iteration	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
1840	-2683.73	-2514.03	-169.7	2.160374	887.9996	443	0
1850	-2683.87	-2514.17	-169.7	2.160374	888.0696	443	0
1860	-2688.66	-2518.96	-169.7	2.160374	888.0707	443	0
1870	-2690.5	-2520.8	-169.7	2.160374	888.0663	443	0
1880	-2680.86	-2511.16	-169.7	2.160374	887.9917	443	0
1890	-2681.75	-2512.05	-169.7	2.160374	887.9903	443	0
1900	-2677.9	-2508.2	-169.7	2.160374	887.9899	443	0
1910	-2678.66	-2508.96	-169.7	2.160374	887.9384	443	0
1920	-2684.44	-2514.74	-169.7	2.160374	887.9554	443	0
1930	-2627.59	-2457.89	-169.7	2.160374	887.7823	443	0
1940	-2623.36	-2453.66	-169.7	2.160374	887.7696	443	0
1950	-2634.56	-2464.86	-169.7	2.160374	887.6631	443	0
1960	-2630.41	-2460.71	-169.7	2.160374	887.7367	443	0
1970	-2630.53	-2460.83	-169.7	2.160374	887.8217	443	0
1980	-2630.42	-2460.72	-169.7	2.160374	887.8423	443	0
1990	-2627.39	-2457.69	-169.7	2.160374	887.6693	443	0
2000	-2627.13	-2457.43	-169.7	2.160374	887.7215	443	0
2010	-2633.04	-2463.34	-169.7	2.160374	887.6621	443	0
2020	-2622.5	-2452.8	-169.7	2.160374	887.7221	443	0
2030	-2624.55	-2454.85	-169.7	2.160374	887.7475	443	0
2040	-2625.62	-2455.92	-169.7	2.160374	887.6603	443	0
2050	-2627.04	-2457.34	-169.7	2.160374	887.5872	443	0
2060	-2631.54	-2461.84	-169.7	2.160374	887.5641	443	0
2070	-2633.4	-2463.7	-169.7	2.160374	887.669	443	0
2080	-2630.94	-2461.24	-169.7	2.160374	887.7465	443	0
2090	-2636.73	-2467.03	-169.7	2.160374	887.5747	443	0
2100	-2628.41	-2458.71	-169.7	2.160374	887.7265	443	0
2110	-2626.33	-2456.63	-169.7	2.160374	887.6636	443	0
2120	-2631.16	-2461.46	-169.7	2.160374	887.6622	443	0
2130	-2623.89	-2454.19	-169.7	2.160374	887.6202	443	0
2140	-2631.27	-2461.57	-169.7	2.160374	887.721	443	0
2150	-2629.09	-2459.39	-169.7	2.160374	887.7306	443	0
2160	-2624.2	-2454.5	-169.7	2.160374	887.7636	443	0
2170	-2629.05	-2459.35	-169.7	2.160374	887.6886	443	0
2180	-2629.22	-2459.52	-169.7	2.160374	887.7311	443	0
2190	-2625.24	-2455.54	-169.7	2.160374	887.6748	443	0
2200	-2626.53	-2456.83	-169.7	2.160374	887.6183	443	0
2210	-2628.4	-2458.7	-169.7	2.160374	887.6841	443	0
2220	-2625.14	-2455.44	-169.7	2.160374	887.7309	443	0
2230	-2622.65	-2452.95	-169.7	2.160374	887.7454	443	0
2240	-2625.24	-2455.54	-169.7	2.160374	887.6968	443	0
2250	-2627.72	-2458.02	-169.7	2.160374	887.6428	443	0
2260	-2626.24	-2456.54	-169.7	2.160374	887.6478	443	0
2270	-2626.1	-2456.4	-169.7	2.160374	887.7322	443	0
2280	-2627.94	-2458.24	-169.7	2.160374	887.6712	443	0
2290	-2631.68	-2461.98	-169.7	2.160374	887.8286	443	0
2300	-2633.32	-2463.62	-169.7	2.160374	887.9027	443	0
2310	-2631.93	-2462.23	-169.7	2.160374	887.9258	443	0
2320	-2628.3	-2458.6	-169.7	2.160374	887.9078	443	0
2330	-2634.95	-2465.25	-169.7	2.160374	887.8066	443	0
2340	-2624.62	-2454.92	-169.7	2.160374	887.7835	443	0
2350	-2626.63	-2456.93	-169.7	2.160374	887.9177	443	0
2360	-2629.66	-2459.96	-169.7	2.160374	888.0125	443	0
2370	-2634.2	-2464.5	-169.7	2.160374	887.9143	443	0
2380	-2633.59	-2463.89	-169.7	2.160374	887.7915	443	0
2390	-2625.36	-2455.66	-169.7	2.160374	887.6786	443	0
2400	-2628.25	-2458.55	-169.7	2.160374	887.8407	443	0
2410	-2629.37	-2459.67	-169.7	2.160374	887.8864	443	0
2420	-2624.3	-2454.6	-169.7	2.160374	887.7159	443	0
2430	-2625.05	-2455.35	-169.7	2.160374	887.7166	443	0
2440	-2628.35	-2458.65	-169.7	2.160374	887.6658	443	0
2450	-2632.8	-2463.1	-169.7	2.160374	887.829	443	0
2460	-2634.15	-2464.45	-169.7	2.160374	887.8751	443	0
2470	-2625.37	-2455.67	-169.7	2.160374	887.8381	443	0
2480	-2624.27	-2454.57	-169.7	2.160374	887.732	443	0
2490	-2627.43	-2457.73	-169.7	2.160374	887.7569	443	0
2500	-2625.28	-2455.58	-169.7	2.160374	887.8589	443	0
2510	-2628.02	-2458.32	-169.7	2.160374	887.9051	443	0
2520	-2626.41	-2456.71	-169.7	2.160374	887.8273	443	0
2530	-2626.82	-2457.12	-169.7	2.160374	887.889	443	0
2540	-2630.07	-2460.37	-169.7	2.160374	888.0193	443	0
2550	-2629.51	-2459.81	-169.7	2.160374	887.8317	443	0
2560	-2628.17	-2458.47	-169.7	2.160374	887.74	443	0
2570	-2627.56	-2457.86	-169.7	2.160374	887.7227	443	0
2580	-2627.13	-2457.43	-169.7	2.160374	887.7773	443	0
2590	-2625.61	-2455.91	-169.7	2.160374	887.743	443	0
2600	-2624.89	-2455.19	-169.7	2.160374	887.8049	443	0
2610	-2627.36	-2457.66	-169.7	2.160374	887.7043	443	0
2620	-2627.06	-2457.36	-169.7	2.160374	887.6937	443	0
2630	-2630.38	-2460.68	-169.7	2.160374	887.988	443	0
2640	-2627.35	-2457.65	-169.7	2.160374	887.8776	443	0
2650	-2633.69	-2463.99	-169.7	2.160374	887.8385	443	0
2660	-2630.94	-2461.24	-169.7	2.160374	887.8677	443	0
2670	-2629.69	-2459.99	-169.7	2.160374	887.9085	443	0
2680	-2630.81	-2461.11	-169.7	2.160374	887.8404	443	0
2690	-2625.35	-2455.65	-169.7	2.160374	887.8399	443	0
2700	-2625.57	-2455.87	-169.7	2.160374	887.7339	443	0
2710	-2626.04	-2456.34	-169.7	2.160374	887.7522	443	0
2720	-2626.17	-2456.47	-169.7	2.160374	887.8415	443	0
2730	-2629.66	-2459.96	-169.7	2.160374	887.7029	443	0
2740	-2627.92	-2458.22	-169.7	2.160374	887.8556	443	0
2750	-2629.56	-2459.86	-169.7	2.160374	887.7469	443	0
2760	-2632.59	-2462.89	-169.7	2.160374	887.8066	443	0
2770	-2623.65	-2453.95	-169.7	2.160374	887.8627	443	0
2780	-2628.23	-2458.53	-169.7	2.160374	887.8859	443	0
2790	-2632.96	-2463.26	-169.7	2.160374	887.8291	443	0
2800	-2635.2	-2465.5	-169.7	2.160374	887.8303	443	0
2810	-2631.58	-2461.88	-169.7	2.160374	887.8073	443	0
2820	-2627.54	-2457.84	-169.7	2.160374	887.8561	443	0
2830	-2630.79	-2461.09	-169.7	2.160374	887.7916	443	0
2840	-2628.58	-2458.88	-169.7	2.160374	887.7545	443	0
2850	-2624.6	-2454.9	-169.7	2.160374	887.871	443	0
2860	-2628.77	-2459.07	-169.7	2.160374	887.9186	443	0
2870	-2628.02	-2458.32	-169.7	2.160374	887.881	443	0
2880	-2625.96	-2456.26	-169.7	2.160374	887.7593	443	0
2890	-2624.62	-2454.92	-169.7	2.160374	887.8062	443	0
2900	-2626.97	-2457.27	-169.7	2.160374	887.8527	443	0
2910	-2624.26	-2454.56	-169.7	2.160374	887.7673	443	0
2920	-2624.04	-2454.34	-169.7	2.160374	887.7259	443	0
2930	-2624.92	-2455.22	-169.7	2.160374	887.7501	443	0
2940	-2625.01	-2455.31	-169.7	2.160374	887.8333	443	0
2950	-2623.91	-2454.21	-169.7	2.160374	887.7677	443	0
2960	-2625.52	-2455.82	-169.7	2.160374	887.7939	443	0
2970	-2623.66	-2453.96	-169.7	2.160374	887.7997	443	0
2980	-2623.55	-2453.85	-169.7	2.160374	887.7891	443	0
2990	-2629.96	-2460.26	-169.7	2.160374	887.8605	443	0
3000	-2627.31	-2457.61	-169.7	2.160374	887.9128	443	0
