Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
175	1	-2694.67	-2524.97	-169.7	2.160374	888.0015	443	0
176	0	-1969.41	-1803.45	-165.964	1.044116	886.968	0.1388969	0.13551
177	1	-2688.57	-2518.87	-169.7	2.160374	888.074	443	0
178	0	-1969.89	-1803.93	-165.964	1.044116	887.0056	0.1327144	0.13551
179	1	-2690.62	-2520.92	-169.7	2.160374	887.988	443	0
180	0	-1969.81	-1803.84	-165.964	1.044116	887.0948	0.1477293	0.13551
181	1	-2687.52	-2517.82	-169.7	2.160374	888.0565	443	0
182	0	-1967.03	-1801.06	-165.964	1.044116	887.1035	0.1370591	0.13551
183	1	-2688.74	-2519.04	-169.7	2.160374	887.9644	443	0
184	0	-1970.09	-1804.13	-165.964	1.044116	887.0714	0.1396027	0.13551
185	1	-2690.35	-2520.65	-169.7	2.160374	888.014	443	0
186	0	-1969.91	-1803.94	-165.964	1.044116	887.0778	0.1351534	0.13551
187	1	-2689.86	-2520.16	-169.7	2.160374	888.0102	443	0
188	0	-1970.11	-1804.14	-165.964	1.044116	887.1746	0.1464761	0.13551
189	1	-2689.37	-2519.67	-169.7	2.160374	887.9944	443	0
190	0	-1968.54	-1802.57	-165.964	1.044116	887.168	0.1365652	0.13551
191	1	-2690.81	-2521.11	-169.7	2.160374	888.0283	443	0
192	0	-1969.05	-1803.09	-165.964	1.044116	887.1038	0.1322954	0.13551
193	1	-2689.01	-2519.31	-169.7	2.160374	887.9605	443	0
194	0	-1965.98	-1800.01	-165.964	1.044116	887.2736	0.1312605	0.13551
195	1	-2690.97	-2521.27	-169.7	2.160374	887.9706	443	0
196	0	-1972.09	-1806.12	-165.964	1.044116	887.3147	0.1365885	0.13551
197	1	-2686.31	-2516.61	-169.7	2.160374	887.871	443	0
198	0	-1969.56	-1803.6	-165.964	1.044116	887.2019	0.1473033	0.13551
199	1	-2688.7	-2519	-169.7	2.160374	887.9084	443	0
200	0	-1971.07	-1805.1	-165.964	1.044116	887.1907	0.1372096	0.13551
201	1	-2686.6	-2516.9	-169.7	2.160374	887.9984	443	0
202	0	-1971.41	-1805.44	-165.964	1.044116	887.2424	0.1418895	0.13551
203	1	-2690.98	-2521.28	-169.7	2.160374	887.9677	443	0
204	0	-1966.86	-1800.9	-165.964	1.044116	887.2453	0.1479584	0.13551
205	1	-2692.78	-2523.08	-169.7	2.160374	887.9246	443	0
206	0	-1967.55	-1801.59	-165.964	1.044116	887.1968	0.1402936	0.13551
207	1	-2697.17	-2527.47	-169.7	2.160374	888.0972	443	0
208	0	-1967.58	-1801.62	-165.964	1.044116	887.1145	0.1342726	0.13551
209	1	-2694.8	-2525.1	-169.7	2.160374	888.0557	443	0
210	0	-1966.2	-1800.23	-165.964	1.044116	887.1294	0.1459321	0.13551
211	1	-2697.66	-2527.96	-169.7	2.160374	888.0339	443	0
212	0	-1963.64	-1797.68	-165.964	1.044116	887.1058	0.1318361	0.13551
213	1	-2694.04	-2524.34	-169.7	2.160374	888.1252	443	0
214	0	-1968.6	-1802.64	-165.964	1.044116	887.1827	0.1530133	0.13551
215	1	-2693.81	-2524.11	-169.7	2.160374	887.9963	443	0
216	0	-1974.12	-1808.15	-165.964	1.044116	887.1748	0.1399925	0.13551
217	1	-2695.57	-2525.87	-169.7	2.160374	887.9698	443	0
218	0	-1976.08	-1810.12	-165.964	1.044116	887.1881	0.1408762	0.13551
219	1	-2681.86	-2512.16	-169.7	2.160374	888.0146	443	0
220	0	-1964.48	-1798.51	-165.964	1.044116	887.1211	0.1411298	0.13551
221	1	-2686.96	-2517.26	-169.7	2.160374	888.0248	443	0
222	0	-1967.88	-1801.92	-165.964	1.044116	887.2706	0.1344731	0.13551
223	1	-2682.95	-2513.25	-169.7	2.160374	888.0741	443	0
224	0	-1971.22	-1805.25	-165.964	1.044116	887.1972	0.136551	0.13551
225	1	-2683.69	-2513.99	-169.7	2.160374	887.966	443	0
226	0	-1967.98	-1802.01	-165.964	1.044116	887.1036	0.1379984	0.13551
227	1	-2681.72	-2512.02	-169.7	2.160374	888.0081	443	0
228	0	-1968.7	-1802.74	-165.964	1.044116	887.286	0.1499424	0.13551
229	1	-2679.37	-2509.67	-169.7	2.160374	887.9501	443	0
230	0	-1971.17	-1805.2	-165.964	1.044116	887.2346	0.1385182	0.13551
231	1	-2686.9	-2517.2	-169.7	2.160374	888.0906	443	0
232	0	-1965.57	-1799.61	-165.964	1.044116	887.2008	0.1393078	0.13551
233	1	-2693.11	-2523.41	-169.7	2.160374	888.1416	443	0
234	0	-1967.63	-1801.67	-165.964	1.044116	887.173	0.1454419	0.13551
235	1	-2688.15	-2518.45	-169.7	2.160374	888.1665	443	0
236	0	-1965.58	-1799.62	-165.964	1.044116	887.2147	0.1311353	0.13551
237	1	-2686.31	-2516.61	-169.7	2.160374	888.0034	443	0
238	0	-1967.06	-1801.09	-165.964	1.044116	887.2736	0.1407202	0.13551
239	1	-2688.13	-2518.43	-169.7	2.160374	888.1319	443	0
