Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	tmrca_Ursidae	turnover
440	-2008.07	-1979.09	-28.9849	0.2588909	0.0002162429	0.0298786	0.88459	0.2290123	0.00415033	0.370963	0.144546	0.0176265	0.448418	0.0142969	48.22744	0.182126	0.323122	0.323563	0.171189	48.22744	0.11541
450	-2009.72	-1981.77	-27.9511	0.5307505	0.0001720879	0.3557259	0.3297682	0.1750247	0.0033952	0.346396	0.166257	0.0427016	0.42705	0.0142001	44.51829	0.193076	0.32472	0.317718	0.164486	44.51829	0.6702318
460	-2015.48	-1984.81	-30.6634	1.363617	0.0001771269	1.285528	0.05726647	0.07808956	0.0293845	0.453384	0.108049	0.0405714	0.355387	0.0132247	47.7253	0.190506	0.305392	0.315429	0.188674	47.7253	0.9427335
470	-2009.05	-1981.78	-27.2747	0.4109354	0.0002557536	0.1169832	0.7153246	0.2939522	0.0246605	0.403625	0.162101	0.0150269	0.389418	0.00516829	50.38549	0.177409	0.333462	0.300203	0.188926	50.38549	0.2846754
480	-2008.51	-1979.9	-28.6041	0.4352852	0.0002425841	0.1325183	0.6955598	0.3027669	0.0362533	0.320611	0.103733	0.0475246	0.488616	0.003261	50.49242	0.174785	0.322078	0.325391	0.177746	50.49242	0.3044402
490	-2003.94	-1975.54	-28.3992	0.3799314	0.0001971639	0.1805124	0.5248818	0.1994191	0.0118277	0.306076	0.167689	0.056267	0.456897	0.00124297	45.8315	0.194501	0.314893	0.327556	0.16305	45.8315	0.4751182
500	-2006.29	-1977.81	-28.476	0.2868065	0.0002270485	0.1403181	0.5107569	0.1464884	0.0126718	0.399971	0.136501	0.076153	0.373735	0.000969494	46.6684	0.203567	0.333021	0.291581	0.17183	46.6684	0.4892431
510	-2008.27	-1978.97	-29.3022	0.2884413	0.0001272432	0.08134159	0.717996	0.2070997	0.006897	0.403034	0.137546	0.0300194	0.421038	0.0014659	48.35063	0.18515	0.318564	0.3318	0.164486	48.35063	0.282004
520	-2017.33	-1987.15	-30.183	0.4162048	0.000174172	0.2224166	0.4656079	0.1937883	0.00633119	0.36997	0.152402	0.0345387	0.422114	0.0146444	46.07913	0.225238	0.315537	0.282658	0.176568	46.07913	0.5343921
530	-2010.47	-1979.45	-31.0204	0.1309403	0.0001691898	0.03632078	0.7226157	0.09461954	0.0104003	0.329603	0.0716214	0.037676	0.525238	0.0254613	50.13316	0.18229	0.331157	0.328553	0.158	50.13316	0.2773843
540	-2005.34	-1976.66	-28.6777	0.4348939	0.000196918	0.1799661	0.5861838	0.2549278	0.0178341	0.320211	0.213614	0.0600056	0.377917	0.0104185	51.04447	0.183426	0.313837	0.328769	0.173969	51.04447	0.4138162
550	-2009.72	-1982	-27.7139	0.3651386	0.0001751382	0.1508397	0.5868976	0.214299	0.0183138	0.439276	0.0579285	0.0303371	0.440061	0.0140839	44.81246	0.163891	0.323202	0.333817	0.17909	44.81246	0.4131024
